iter	Logloss
0	0.654075894
1	0.6212980347
2	0.5918689951
3	0.5652340456
4	0.5415025442
5	0.5216493698
6	0.5034219067
7	0.4886677428
8	0.4747722177
9	0.4614420478
10	0.4499373985
11	0.4397623443
12	0.4313691325
13	0.4231502266
14	0.4162261238
15	0.4096293582
16	0.4040105579
17	0.3993431929
18	0.3948233136
19	0.3907616687
20	0.3873742891
21	0.3838915769
22	0.3808414703
23	0.3781968195
24	0.3760381271
25	0.3739315504
26	0.3717338306
27	0.3700702652
28	0.3684736902
29	0.3667661004
30	0.3653084559
31	0.3640435833
32	0.3628734565
33	0.3618348424
34	0.3608275636
35	0.3601148477
36	0.3592973845
37	0.3584781943
38	0.3578594211
39	0.3571301253
40	0.3565555404
41	0.3560310046
42	0.3554637956
43	0.3550858194
44	0.3547020964
45	0.3542884481
46	0.3538650333
47	0.3535688325
48	0.3531887398
49	0.3530215464
50	0.3527354521
51	0.3524907476
52	0.3522505865
53	0.352028797
54	0.3518075182
55	0.3515673374
56	0.3513513432
57	0.3511723982
58	0.3510009965
59	0.3508399395
60	0.3507855988
61	0.3506671023
62	0.3504890595
63	0.3503755338
64	0.3502456633
65	0.350142063
66	0.3500383219
67	0.349903182
68	0.3497358475
69	0.3496124869
70	0.3494736297
71	0.3493653869
72	0.3492543816
73	0.3491232672
74	0.3490314506
75	0.3489176959
76	0.3488114838
77	0.3487266144
78	0.348620182
79	0.3485305305
80	0.3484124715
81	0.3483191901
82	0.3482232466
83	0.3481421166
84	0.3480369673
85	0.3479692253
86	0.3478705789
87	0.3477930915
88	0.347710615
89	0.3475915772
90	0.3475437513
91	0.3474590481
92	0.3473802322
93	0.3472484929
94	0.3471709543
95	0.3470769528
96	0.3470393613
97	0.346979572
98	0.3468988867
99	0.3468014692
