iter	Passed	Remaining
0	69	6919
1	80	3931
2	90	2936
3	102	2456
4	112	2146
5	123	1942
6	135	1794
7	145	1674
8	155	1577
9	166	1496
10	176	1431
11	186	1365
12	196	1314
13	206	1269
14	217	1233
15	228	1199
16	239	1170
17	250	1140
18	261	1112
19	271	1086
20	279	1052
21	292	1037
22	304	1018
23	315	997
24	321	963
25	331	944
26	341	924
27	352	907
28	362	888
29	373	870
30	383	853
31	394	837
32	404	821
33	415	805
34	425	791
35	432	768
36	442	753
37	453	740
38	464	725
39	475	713
40	487	700
41	499	689
42	509	675
43	520	662
44	531	649
45	542	636
46	553	623
47	563	610
48	574	597
49	581	581
50	591	568
51	601	555
52	612	543
53	623	531
54	635	519
55	645	507
56	657	496
57	667	483
58	679	471
59	691	460
60	698	446
61	709	434
62	719	422
63	729	410
64	740	398
65	751	387
66	761	375
67	772	363
68	783	352
69	794	340
70	805	329
71	816	317
72	827	306
73	838	294
74	848	282
75	859	271
76	870	260
77	881	248
78	892	237
79	905	226
80	915	214
81	926	203
82	936	191
83	947	180
84	958	169
85	968	157
86	979	146
87	990	135
88	1000	123
89	1011	112
90	1022	101
91	1032	89
92	1042	78
93	1053	67
94	1064	56
95	1076	44
96	1087	33
97	1099	22
98	1111	11
99	1122	0
